Id,Date,Open,High,Low,Close,Adj Close,Volume,Company
0,2033-03-01,159.2711089042165,167.22148815468103,157.38047800796707,161.91506158437178,160.16704277093552,40490589,Company_0
1,2033-03-01,114.5718433854485,114.40966439458316,112.92150488304478,113.06665941646094,87.84472201325784,8592865,Company_1
2,2033-03-01,50.984499106267336,51.262529001002754,50.266272341123894,50.09449865340794,49.32983355986797,25085661,Company_2
3,2033-03-01,98.5854282429284,99.9880785758018,97.86771915440934,98.81196633920976,91.78446900984324,823271,Company_3
4,2033-03-01,8874.64610695601,8935.704765447417,8811.24776388927,8873.173068692082,8407.38938563251,609369,Company_4
5,2033-03-01,136.43065201775474,136.25677539585584,135.14123609324724,135.8825463099453,105.3564252063539,2576112,Company_5
6,2033-03-05,158.0493373362147,167.3479037092051,152.21660386422852,163.108507173809,162.82248136963244,38792259,Company_0
7,2033-03-05,113.26663052910064,113.1613143188705,110.17044831814424,110.5612456261805,85.70489038178572,11677097,Company_1
8,2033-03-05,50.53485984677092,49.383998858149745,49.82194588822757,49.250071130096735,49.92782330056629,15073917,Company_2
9,2033-03-05,99.3385305659744,99.16060949362117,96.71835671765706,96.59459733014413,89.51363470982317,830714,Company_3
10,2033-03-05,8867.074822659602,8866.837373399208,8774.326899282996,8794.75810853542,8333.361604845282,388180,Company_4
11,2033-03-05,135.10063236442306,137.99600390399587,132.95953447761508,135.97081250490666,105.4554154860144,3945470,Company_5
12,2033-03-06,163.68673213738668,167.0578897156566,158.43440050715853,161.71629778156105,161.44381396729904,30423475,Company_0
13,2033-03-06,110.75642395371216,112.33945260793394,109.28147115904548,109.65138638257424,84.68516104005225,9907501,Company_1
14,2033-03-06,49.83805328622736,50.24019181280334,49.475690392138375,48.87861578590171,49.93714934357533,16314199,Company_2
15,2033-03-06,97.33901987440429,97.9271731041165,93.36339376600756,93.60206452274228,86.67699897337106,1287970,Company_3
16,2033-03-06,8855.832360188824,8884.91563641961,8599.79217309468,8616.178597530527,8163.464753746472,543686,Company_4
17,2033-03-06,137.11932093320272,138.0031688153311,134.93950300485713,136.07056054789987,105.16976335729778,6137704,Company_5
18,2033-03-07,160.461621766202,161.4222582393446,145.21615781634117,148.0519072754648,147.52245036072804,36866132,Company_0
19,2033-03-07,109.82733498322774,111.13676753860732,108.66735512061264,109.72377168343954,84.53281070410888,9025097,Company_1
20,2033-03-07,49.242896383536944,49.93046287608203,46.891621078688274,48.67056376699908,47.53971681222733,22678239,Company_2
21,2033-03-07,93.14417273159158,94.09166179723768,89.29774974925262,90.71807953034192,84.27583986954978,1755708,Company_3
22,2033-03-07,8621.791003115773,8713.973554137167,8552.003520246746,8679.165970376203,8223.307353003123,598715,Company_4
23,2033-03-07,135.57617520935193,137.4009881780977,135.0228390973121,135.77281818315208,104.904857389981,3130801,Company_5
24,2033-03-08,150.28998888188772,154.8898076463622,146.9111828807535,148.48336782669844,147.5584806751194,20664624,Company_0
25,2033-03-08,111.16859460919744,111.41520650134302,107.90300729824888,109.11805246476084,84.1901509390119,10079493,Company_1
26,2033-03-08,48.72862312231751,49.39142831955563,47.892769326628134,47.64265389997029,47.622622508511405,33250438,Company_2
27,2033-03-08,90.82141737703648,93.31948003638922,88.5999014987671,90.7714564465106,84.86821802980869,1441977,Company_3
28,2033-03-08,8699.27411712741,8775.807827829922,8650.956876170982,8729.613528098296,8270.636561193625,533856,Company_4
29,2033-03-08,136.78936434914314,138.11638359269733,135.6046150150579,137.85436033768187,106.5006294705334,5446693,Company_5
30,2033-03-09,150.8745816562471,151.58721999301048,144.25875615013246,145.77360652116516,145.02445828489385,12833958,Company_0
31,2033-03-09,109.54560403744053,111.14362462746632,108.58827896240273,109.0778942048982,83.54064863849925,8047181,Company_1
32,2033-03-09,48.383613284489776,49.103512969483575,46.9773518929711,46.736558128510595,47.28885942011967,12098696,Company_2
